Store,Date,Flavor,Is Season Flavor,Quantity,Listed By
Store C,2023-07-14,Strawberry,Yes,52,Lisa
Store C,2023-07-14,Vanilla,No,47,Michael
Store C,2023-07-14,Mint,No,42,Lisa
Store C,2023-07-13,Chocolate,Yes,56,Michael
Store C,2023-07-13,Strawberry,Yes,51,Lisa
Store C,2023-07-13,Vanilla,No,46,Michael
Store C,2023-07-13,Mint,No,41,Lisa
Store C,2023-07-12,Chocolate,Yes,55,Michael
Store C,2023-07-12,Strawberry,Yes,50,Lisa
Store C,2023-07-12,Vanilla,No,45,Michael
Store C,2023-07-12,Mint,No,40,Lisa
Store C,2023-07-11,Chocolate,Yes,54,Michael
Store C,2023-07-11,Strawberry,Yes,49,Lisa
Store C,2023-07-11,Vanilla,No,44,Michael
Store C,2023-07-11,Mint,No,39,Lisa
Store C,2023-07-10,Chocolate,Yes,53,Michael
Store C,2023-07-10,Strawberry,Yes,48,Lisa
Store C,2023-07-10,Vanilla,No,43,Michael
Store C,2023-07-10,Mint,No,38,Lisa
Store C,2023-07-09,Chocolate,Yes,52,Michael
Store C,2023-07-09,Strawberry,Yes,47,Lisa
Store C,2023-07-09,Vanilla,No,42,Michael
Store C,2023-07-09,Mint,No,37,Lisa
Store C,2023-07-08,Chocolate,Yes,51,Michael
Store C,2023-07-08,Strawberry,Yes,46,Lisa
Store C,2023-07-08,Vanilla,No,41,Michael
Store C,2023-07-08,Mint,No,36,Lisa
Store C,2023-07-07,Chocolate,Yes,50,Michael
Store C,2023-07-07,Strawberry,Yes,45,Lisa
Store C,2023-07-07,Vanilla,No,40,Michael
Store C,2023-07-07,Mint,No,35,Lisa
Store C,2023-07-06,Chocolate,Yes,49,Michael
Store C,2023-07-06,Strawberry,Yes,44,Lisa
Store C,2023-07-06,Vanilla,No,39,Michael
Store C,2023-07-06,Mint,No,34,Lisa
Store C,2023-07-05,Chocolate,Yes,48,Michael
Store C,2023-07-05,Strawberry,Yes,43,Lisa
Store C,2023-07-05,Vanilla,No,38,Michael
Store C,2023-07-05,Mint,No,33,Lisa
Store C,2023-07-04,Chocolate,Yes,47,Michael
Store C,2023-07-04,Strawberry,Yes,42,Lisa
Store C,2023-07-04,Vanilla,No,37,Michael
Store C,2023-07-04,Mint,No,32,Lisa
Store C,2023-07-03,Chocolate,Yes,46,Michael
Store C,2023-07-03,Strawberry,Yes,41,Lisa
Store C,2023-07-03,Vanilla,No,36,Michael
Store C,2023-07-03,Mint,No,31,Lisa
